country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,timezone,cloud,description,region,population,date
NG,Abocho,7.32,7.14,310.68,310.68,310.68,1006,33,1006,971,1.97,217,2024-02-21 05:47:30,2024-02-21 17:43:07,3600,45,Clouds,Kogi,13261,2024-02-21
NG,Bugana,7.81,7.43,312.57,312.57,312.57,1006,29,1006,982,1.12,24,2024-02-21 05:46:43,2024-02-21 17:41:35,3600,43,Clouds,Kogi,11026,2024-02-21
NG,Kabba,7.92,6.27,311.52,311.52,311.52,1006,27,1006,959,0.54,163,2024-02-21 05:51:26,2024-02-21 17:46:08,3600,63,Clouds,Kogi,3861,2024-02-21
NG,Illushi,6.85,6.65,313.12,313.12,313.12,1006,33,1006,1003,1.05,142,2024-02-21 05:49:06,2024-02-21 17:45:26,3600,57,Clouds,Kogi,6170,2024-02-21
NG,Koton-Karfe,7.99,6.64,312.01,312.01,312.01,1006,28,1006,967,0.8,204,2024-02-21 05:50:00,2024-02-21 17:44:36,3600,37,Clouds,Kogi,1788,2024-02-21
NG,Dekina,7.67,6.97,311.97,311.97,311.97,1006,32,1006,986,1.44,227,2024-02-21 05:48:26,2024-02-21 17:43:31,3600,39,Rain,Kogi,12524,2024-02-21
NG,Adoru,6.87,7.11,311.33,311.33,311.33,1006,35,1006,991,1.78,246,2024-02-21 05:47:16,2024-02-21 17:43:35,3600,44,Clouds,Kogi,10617,2024-02-21
NG,Kabba,7.92,6.3,311.62,311.62,311.62,1006,27,1006,960,0.53,163,2024-02-21 05:51:19,2024-02-21 17:46:01,3600,60,Clouds,Kogi,3450,2024-02-21
NG,Ogaminana,7.62,6.3,312.78,312.78,312.78,1006,29,1006,983,0.89,220,2024-02-21 05:51:05,2024-02-21 17:46:15,3600,64,Clouds,Kogi,174109,2024-02-21
NG,Idah,7.11,6.81,312.66,312.66,312.66,1006,33,1006,999,1.38,181,2024-02-21 05:48:39,2024-02-21 17:44:36,3600,45,Clouds,Kogi,14811,2024-02-21
NG,Adoru,6.97,7.18,311.37,311.37,311.37,1006,35,1006,994,2.17,258,2024-02-21 05:47:04,2024-02-21 17:43:13,3600,55,Clouds,Kogi,8642,2024-02-21
NG,Abocho,7.49,6.98,310.9,310.9,310.9,1006,33,1006,973,1.75,213,2024-02-21 05:48:16,2024-02-21 17:43:37,3600,39,Clouds,Kogi,13261,2024-02-21
NG,Adoru,7.03,7.07,311.97,311.97,311.97,1006,35,1006,1000,1.47,229,2024-02-21 05:47:33,2024-02-21 17:43:37,3600,54,Clouds,Kogi,9551,2024-02-21
NG,Adoru,7.04,7.02,312.14,312.14,312.14,1006,35,1006,1002,1.39,211,2024-02-21 05:47:46,2024-02-21 17:43:48,3600,52,Clouds,Kogi,9700,2024-02-21
NG,Bugana,7.71,7.42,311.58,311.58,311.58,1006,29,1006,963,0.57,20,2024-02-21 05:46:40,2024-02-21 17:41:42,3600,43,Clouds,Kogi,11114,2024-02-21
NG,Kabba,7.94,6.05,310.88,310.88,310.88,1007,26,1007,950,0.26,230,2024-02-21 05:52:20,2024-02-21 17:47:00,3600,79,Clouds,Kogi,7910,2024-02-21
NG,Ankpa,7.46,7.63,311.43,311.43,311.43,1006,28,1006,958,0.57,39,2024-02-21 05:45:38,2024-02-21 17:41:03,3600,50,Clouds,Kogi,32161,2024-02-21
NG,Kabba,7.92,6.28,311.36,311.36,311.36,1006,27,1006,957,0.54,163,2024-02-21 05:51:24,2024-02-21 17:46:06,3600,62,Clouds,Kogi,3663,2024-02-21
NG,Kabba,7.7,5.97,311.13,311.13,311.13,1007,29,1007,967,1.02,191,2024-02-21 05:52:28,2024-02-21 17:47:30,3600,83,Clouds,Kogi,12667,2024-02-21
NG,Ogurugu,6.79,6.78,312.39,312.39,312.39,1006,34,1006,1003,1.17,156,2024-02-21 05:48:32,2024-02-21 17:44:57,3600,43,Clouds,Kogi,8642,2024-02-21
NG,Ankpa,7.52,7.63,311.43,311.43,311.43,1006,28,1006,959,0.82,45,2024-02-21 05:45:41,2024-02-21 17:41:00,3600,47,Clouds,Kogi,11026,2024-02-21
NG,Kabba,7.8,6.09,310.85,310.85,310.85,1007,28,1007,959,0.92,191,2024-02-21 05:52:04,2024-02-21 17:46:57,3600,80,Clouds,Kogi,4107,2024-02-21
NG,Omuo-Ekiti,7.78,5.8,310.35,310.35,310.35,1007,27,1007,952,0.92,187,2024-02-21 05:53:12,2024-02-21 17:48:07,3600,82,Clouds,Kogi,11803,2024-02-21
NG,Kabba,7.88,6.19,311.17,311.17,311.17,1006,27,1006,957,0.61,183,2024-02-21 05:51:43,2024-02-21 17:46:29,3600,71,Clouds,Kogi,4023,2024-02-21
NG,Kabba,7.99,6.06,310.88,310.88,310.88,1007,25,1007,947,0.2,293,2024-02-21 05:52:20,2024-02-21 17:46:55,3600,77,Clouds,Kogi,7200,2024-02-21
NG,Kabba,7.87,6.17,311.14,311.14,311.14,1006,27,1006,957,0.63,187,2024-02-21 05:51:48,2024-02-21 17:46:34,3600,73,Clouds,Kogi,4023,2024-02-21
NG,Kabba,7.98,5.99,311.63,311.63,311.63,1007,25,1007,959,0.38,293,2024-02-21 05:52:36,2024-02-21 17:47:12,3600,82,Clouds,Kogi,9387,2024-02-21
NG,Idah,7.17,6.83,311.74,311.74,311.74,1006,33,1006,984,1.44,186,2024-02-21 05:48:37,2024-02-21 17:44:28,3600,39,Clouds,Kogi,8642,2024-02-21
NG,Ohunene,7.46,6.69,313.59,313.59,313.59,1006,31,1006,1000,1.23,180,2024-02-21 05:49:24,2024-02-21 17:44:48,3600,30,Clouds,Kogi,8686,2024-02-21
NG,Bugana,7.85,7.52,313.09,313.09,313.09,1006,29,1006,992,1.82,38,2024-02-21 05:46:23,2024-02-21 17:41:11,3600,45,Clouds,Kogi,11026,2024-02-21
NG,Abocho,7.52,7.11,311.48,311.48,311.48,1006,32,1006,978,1.74,222,2024-02-21 05:47:46,2024-02-21 17:43:05,3600,45,Clouds,Kogi,13261,2024-02-21
NG,Abocho,7.58,7.1,311.07,311.07,311.07,1006,32,1006,971,1.62,229,2024-02-21 05:47:51,2024-02-21 17:43:04,3600,43,Clouds,Kogi,13261,2024-02-21
NG,Ugbokpo,7.54,7.75,311.67,311.67,311.67,1006,29,1006,976,2.0,40,2024-02-21 05:45:13,2024-02-21 17:40:30,3600,43,Clouds,Kogi,11258,2024-02-21
NG,Ankpa,7.39,7.54,312.2,312.2,312.2,1006,28,1006,968,0.6,257,2024-02-21 05:45:57,2024-02-21 17:41:27,3600,57,Clouds,Kogi,11026,2024-02-21
NG,Illushi,6.56,6.72,314.09,314.09,314.09,1006,31,1006,1003,0.99,127,2024-02-21 05:48:36,2024-02-21 17:45:22,3600,67,Clouds,Kogi,14159,2024-02-21
NG,Bugana,7.71,7.55,312.87,312.87,312.87,1006,28,1006,983,1.51,51,2024-02-21 05:46:09,2024-02-21 17:41:10,3600,43,Clouds,Kogi,11026,2024-02-21
NG,Ete,7.04,7.32,311.04,311.04,311.04,1006,33,1006,982,2.36,221,2024-02-21 05:46:34,2024-02-21 17:42:36,3600,72,Clouds,Kogi,28357,2024-02-21
NG,Ankpa,7.28,7.5,313.64,313.64,313.64,1006,27,1006,981,0.95,215,2024-02-21 05:46:01,2024-02-21 17:41:42,3600,58,Clouds,Kogi,13354,2024-02-21
NG,Adoru,7.07,7.1,311.98,311.98,311.98,1006,34,1006,1000,1.65,233,2024-02-21 05:47:28,2024-02-21 17:43:28,3600,52,Clouds,Kogi,10367,2024-02-21
NG,Ogaminana,7.47,6.15,311.95,311.95,311.95,1006,28,1006,968,1.16,244,2024-02-21 05:51:34,2024-02-21 17:46:57,3600,82,Clouds,Kogi,14933,2024-02-21
NG,Bugana,7.97,7.25,314.0,314.0,314.0,1005,29,1005,1000,0.79,313,2024-02-21 05:47:33,2024-02-21 17:42:10,3600,43,Clouds,Kogi,7289,2024-02-21
NG,Lokoja,7.87,6.48,313.34,313.34,313.34,1006,28,1006,985,0.64,183,2024-02-21 05:50:33,2024-02-21 17:45:20,3600,41,Clouds,Kogi,4608,2024-02-21
NG,Dekina,7.7,7.1,311.8,311.8,311.8,1006,32,1006,983,1.48,246,2024-02-21 05:47:57,2024-02-21 17:42:59,3600,40,Rain,Kogi,11941,2024-02-21
NG,Adoru,7.2,7.14,311.5,311.5,311.5,1006,33,1006,989,1.94,222,2024-02-21 05:47:24,2024-02-21 17:43:12,3600,46,Clouds,Kogi,13259,2024-02-21
NG,Ete,7.18,7.32,311.86,311.86,311.86,1006,32,1006,988,1.95,247,2024-02-21 05:46:40,2024-02-21 17:42:30,3600,58,Clouds,Kogi,11637,2024-02-21
NG,Ohunene,7.36,6.79,312.68,312.68,312.68,1006,32,1006,994,1.42,187,2024-02-21 05:48:55,2024-02-21 17:44:29,3600,28,Clouds,Kogi,13261,2024-02-21
NG,Dekina,7.89,7.07,313.49,313.49,313.49,1006,30,1006,1000,0.97,227,2024-02-21 05:48:13,2024-02-21 17:42:57,3600,39,Clouds,Kogi,8146,2024-02-21
NG,Ogurugu,6.86,6.98,312.4,312.4,312.4,1006,34,1006,1002,1.16,215,2024-02-21 05:47:47,2024-02-21 17:44:06,3600,43,Clouds,Kogi,9998,2024-02-21
NG,Adoru,7.23,7.16,311.25,311.25,311.25,1006,33,1006,983,2.02,220,2024-02-21 05:47:21,2024-02-21 17:43:06,3600,46,Clouds,Kogi,13110,2024-02-21
NG,Adoru,7.03,7.2,311.44,311.44,311.44,1006,34,1006,994,2.22,258,2024-02-21 05:47:02,2024-02-21 17:43:06,3600,57,Clouds,Kogi,8642,2024-02-21
NG,Adoru,7.12,7.09,311.75,311.75,311.75,1006,34,1006,995,1.71,224,2024-02-21 05:47:32,2024-02-21 17:43:28,3600,48,Clouds,Kogi,12534,2024-02-21
NG,Abocho,7.4,7.28,311.52,311.52,311.52,1006,31,1006,974,1.8,226,2024-02-21 05:47:00,2024-02-21 17:42:29,3600,52,Clouds,Kogi,13261,2024-02-21
NG,Ogurugu,6.82,6.78,312.46,312.46,312.46,1006,34,1006,1003,1.19,158,2024-02-21 05:48:33,2024-02-21 17:44:56,3600,45,Clouds,Kogi,8642,2024-02-21
NG,Ete,7.18,7.33,311.77,311.77,311.77,1006,32,1006,986,1.92,248,2024-02-21 05:46:38,2024-02-21 17:42:28,3600,58,Clouds,Kogi,13633,2024-02-21
NG,Ankpa,7.31,7.43,312.55,312.55,312.55,1006,30,1006,985,1.46,250,2024-02-21 05:46:20,2024-02-21 17:41:58,3600,60,Clouds,Kogi,11959,2024-02-21
NG,Ete,7.32,7.24,311.34,311.34,311.34,1006,32,1006,978,2.03,224,2024-02-21 05:47:06,2024-02-21 17:42:43,3600,51,Clouds,Kogi,12227,2024-02-21
NG,Abocho,7.42,6.95,311.26,311.26,311.26,1006,33,1006,979,1.73,207,2024-02-21 05:48:20,2024-02-21 17:43:48,3600,36,Clouds,Kogi,13261,2024-02-21
NG,Abocho,7.58,7.03,310.41,310.41,310.41,1006,32,1006,963,1.62,223,2024-02-21 05:48:08,2024-02-21 17:43:21,3600,42,Clouds,Kogi,13261,2024-02-21
NG,Dekina,7.8,7.32,312.59,312.59,312.59,1006,30,1006,987,0.88,304,2024-02-21 05:47:08,2024-02-21 17:42:01,3600,40,Clouds,Kogi,12863,2024-02-21
NG,Ankpa,7.62,7.5,312.74,312.74,312.74,1006,28,1006,972,0.54,65,2024-02-21 05:46:17,2024-02-21 17:41:27,3600,48,Clouds,Kogi,11026,2024-02-21
NG,Ode,7.84,5.74,310.53,310.53,310.53,1007,26,1007,950,0.47,197,2024-02-21 05:53:29,2024-02-21 17:48:19,3600,82,Clouds,Kogi,6954,2024-02-21
NG,Ankpa,7.43,7.71,311.19,311.19,311.19,1006,28,1006,956,1.21,43,2024-02-21 05:45:18,2024-02-21 17:40:45,3600,51,Clouds,Kogi,16319,2024-02-21
NG,Illushi,6.63,6.72,312.7,312.7,312.7,1006,34,1006,1003,1.04,127,2024-02-21 05:48:39,2024-02-21 17:45:19,3600,37,Clouds,Kogi,8731,2024-02-21
NG,Bugana,8.0,7.55,312.79,312.79,312.79,1005,30,1005,995,1.78,23,2024-02-21 05:46:23,2024-02-21 17:40:57,3600,46,Clouds,Kogi,9861,2024-02-21
NG,Ete,7.23,7.42,311.81,311.81,311.81,1006,30,1006,979,1.7,256,2024-02-21 05:46:18,2024-02-21 17:42:04,3600,62,Clouds,Kogi,18364,2024-02-21
NG,Bugana,8.01,7.4,313.06,313.06,313.06,1005,30,1005,995,1.41,13,2024-02-21 05:46:59,2024-02-21 17:41:33,3600,46,Clouds,Kogi,7555,2024-02-21
NG,Abocho,7.52,6.84,312.46,312.46,312.46,1006,32,1006,989,1.47,198,2024-02-21 05:48:51,2024-02-21 17:44:10,3600,30,Clouds,Kogi,10560,2024-02-21
NG,Ankpa,7.42,7.37,312.59,312.59,312.59,1006,29,1006,983,1.38,230,2024-02-21 05:46:39,2024-02-21 17:42:07,3600,54,Clouds,Kogi,13183,2024-02-21
NG,Adani,6.83,7.08,311.81,311.81,311.81,1006,35,1006,997,1.64,241,2024-02-21 05:47:22,2024-02-21 17:43:44,3600,41,Clouds,Kogi,10767,2024-02-21
NG,Ankpa,7.42,7.65,312.15,312.15,312.15,1006,28,1006,969,0.61,38,2024-02-21 05:45:32,2024-02-21 17:41:00,3600,53,Clouds,Kogi,56466,2024-02-21
NG,Ete,7.27,7.41,311.69,311.69,311.69,1006,30,1006,975,1.64,250,2024-02-21 05:46:23,2024-02-21 17:42:04,3600,60,Clouds,Kogi,14515,2024-02-21
NG,Bugana,7.75,7.55,312.9,312.9,312.9,1006,29,1006,985,1.82,50,2024-02-21 05:46:11,2024-02-21 17:41:09,3600,42,Clouds,Kogi,11026,2024-02-21
NG,Adoru,7.05,7.14,311.82,311.82,311.82,1006,34,1006,998,1.82,245,2024-02-21 05:47:17,2024-02-21 17:43:19,3600,54,Clouds,Kogi,8683,2024-02-21
NG,Adoru,7.13,7.26,311.6,311.6,311.6,1006,33,1006,991,2.22,249,2024-02-21 05:46:52,2024-02-21 17:42:47,3600,55,Clouds,Kogi,8642,2024-02-21
NG,Ankpa,7.4,7.63,312.26,312.26,312.26,1006,28,1006,970,0.36,26,2024-02-21 05:45:36,2024-02-21 17:41:05,3600,55,Clouds,Kogi,56466,2024-02-21
NG,Kabba,7.95,6.16,311.02,311.02,311.02,1006,26,1006,951,0.28,168,2024-02-21 05:51:54,2024-02-21 17:46:33,3600,71,Clouds,Kogi,4023,2024-02-21
NG,Otukpa,7.22,7.53,311.7,311.7,311.7,1006,29,1006,969,1.36,272,2024-02-21 05:45:51,2024-02-21 17:41:38,3600,67,Clouds,Kogi,19378,2024-02-21
NG,Abocho,7.46,6.98,311.02,311.02,311.02,1006,33,1006,976,1.77,211,2024-02-21 05:48:14,2024-02-21 17:43:39,3600,39,Clouds,Kogi,13261,2024-02-21
NG,Abocho,7.44,6.98,310.98,310.98,310.98,1006,33,1006,976,1.79,211,2024-02-21 05:48:14,2024-02-21 17:43:40,3600,38,Clouds,Kogi,13261,2024-02-21
NG,Kabba,7.93,6.02,311.11,311.11,311.11,1007,26,1007,955,0.31,234,2024-02-21 05:52:26,2024-02-21 17:47:07,3600,81,Clouds,Kogi,9155,2024-02-21
NG,Ogurugu,6.97,6.97,312.33,312.33,312.33,1006,34,1006,1002,1.23,202,2024-02-21 05:47:54,2024-02-21 17:44:04,3600,53,Clouds,Kogi,8642,2024-02-21
NG,Kabba,7.64,6.02,311.37,311.37,311.37,1007,29,1007,967,0.87,205,2024-02-21 05:52:13,2024-02-21 17:47:21,3600,80,Clouds,Kogi,9934,2024-02-21
NG,Ugbokpo,7.71,7.59,312.66,312.66,312.66,1006,29,1006,984,1.62,51,2024-02-21 05:46:00,2024-02-21 17:41:01,3600,41,Clouds,Kogi,11026,2024-02-21
NG,Ohunene,7.48,6.81,312.58,312.58,312.58,1006,32,1006,990,1.45,192,2024-02-21 05:48:56,2024-02-21 17:44:19,3600,28,Clouds,Kogi,9451,2024-02-21
NG,Abocho,7.4,7.04,310.78,310.78,310.78,1006,33,1006,973,1.87,213,2024-02-21 05:47:57,2024-02-21 17:43:27,3600,40,Clouds,Kogi,13261,2024-02-21
NG,Lokoja,7.79,6.79,313.6,313.6,313.6,1006,30,1006,1001,1.35,213,2024-02-21 05:49:15,2024-02-21 17:44:09,3600,31,Clouds,Kogi,36047,2024-02-21
NG,Ankpa,7.43,7.3,312.18,312.18,312.18,1006,30,1006,982,1.67,226,2024-02-21 05:46:56,2024-02-21 17:42:23,3600,53,Clouds,Kogi,13261,2024-02-21
NG,Dekina,7.62,7.09,310.8,310.8,310.8,1006,32,1006,967,1.55,233,2024-02-21 05:47:55,2024-02-21 17:43:05,3600,42,Rain,Kogi,13261,2024-02-21
NG,Adoru,6.92,7.19,310.86,310.86,310.86,1006,35,1006,987,2.29,258,2024-02-21 05:46:59,2024-02-21 17:43:13,3600,50,Clouds,Kogi,15419,2024-02-21
NG,Ugbokpo,7.65,7.62,311.3,311.3,311.3,1006,29,1006,963,1.4,50,2024-02-21 05:45:50,2024-02-21 17:40:56,3600,42,Clouds,Kogi,11026,2024-02-21
NG,Dekina,7.64,7.32,311.5,311.5,311.5,1006,30,1006,968,0.98,254,2024-02-21 05:47:01,2024-02-21 17:42:09,3600,44,Clouds,Kogi,13255,2024-02-21
NG,Ete,7.14,7.45,312.0,312.0,312.0,1006,31,1006,981,1.73,271,2024-02-21 05:46:07,2024-02-21 17:42:01,3600,67,Clouds,Kogi,27349,2024-02-21
NG,Abocho,7.51,7.17,311.1,311.1,311.1,1006,31,1006,969,1.76,224,2024-02-21 05:47:31,2024-02-21 17:42:51,3600,48,Clouds,Kogi,13261,2024-02-21
